ID klienta;Nazwa klienta;Segment;Kraj;Miasto;Stan;Kod pocztowy;Region
JM-15250;Janet Martin;Klient indywidualny;Stany Zjednoczone;Charlotte;North Carolina;28205;Południe
JM-15250;Janet Martin;Klient indywidualny;Stany Zjednoczone;Charlotte;North Carolina;28205;Południe
JM-15250;Janet Martin;Klient indywidualny;Stany Zjednoczone;Charlotte;North Carolina;28205;Południe
PA-19060;Pete Armstrong;Biuro domowe;Stany Zjednoczone;Orland Park;Illinois;60462;Centrum
CV-12805;Cynthia Voltz;Klient korporacyjny;Stany Zjednoczone;New York City;New York;10035;Wschód
CL-12565;Clay Ludtke;Klient indywidualny;Stany Zjednoczone;Urbandale;Iowa;50322;Centrum
CL-12565;Clay Ludtke;Klient indywidualny;Stany Zjednoczone;Urbandale;Iowa;50322;Centrum
RC-19960;Ryan Crowe;Klient indywidualny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
RC-19960;Ryan Crowe;Klient indywidualny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
RC-19960;Ryan Crowe;Klient indywidualny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
RC-19960;Ryan Crowe;Klient indywidualny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
DK-13090;Dave Kipp;Klient indywidualny;Stany Zjednoczone;Seattle;Washington;98103;Zachód
GG-14650;Greg Guthrie;Klient korporacyjny;Stany Zjednoczone;Bristol;Tennessee;37620;Południe
SC-20725;Steven Cartwright;Klient indywidualny;Stany Zjednoczone;Wilmington;Delaware;19805;Wschód
SC-20725;Steven Cartwright;Klient indywidualny;Stany Zjednoczone;Wilmington;Delaware;19805;Wschód
SC-20725;Steven Cartwright;Klient indywidualny;Stany Zjednoczone;Wilmington;Delaware;19805;Wschód
SC-20725;Steven Cartwright;Klient indywidualny;Stany Zjednoczone;Wilmington;Delaware;19805;Wschód
SC-20725;Steven Cartwright;Klient indywidualny;Stany Zjednoczone;Wilmington;Delaware;19805;Wschód
AD-10180;Alan Dominguez;Biuro domowe;Stany Zjednoczone;Houston;Texas;77041;Centrum
PF-19165;Philip Fox;Klient indywidualny;Stany Zjednoczone;Bloomington;Illinois;61701;Centrum
TS-21610;Troy Staebel;Klient indywidualny;Stany Zjednoczone;Phoenix;Arizona;85023;Zachód
TS-21610;Troy Staebel;Klient indywidualny;Stany Zjednoczone;Phoenix;Arizona;85023;Zachód
LS-16975;Lindsay Shagiari;Biuro domowe;Stany Zjednoczone;Los Angeles;California;90004;Zachód
LS-16975;Lindsay Shagiari;Biuro domowe;Stany Zjednoczone;Los Angeles;California;90004;Zachód
DW-13585;Dorothy Wardle;Klient korporacyjny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
DW-13585;Dorothy Wardle;Klient korporacyjny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
DW-13585;Dorothy Wardle;Klient korporacyjny;Stany Zjednoczone;Columbus;Ohio;43229;Wschód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
LC-16885;Lena Creighton;Klient indywidualny;Stany Zjednoczone;Roseville;California;95661;Zachód
JD-15895;Jonathan Doherty;Klient korporacyjny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
SH-19975;Sally Hughsby;Klient korporacyjny;Stany Zjednoczone;San Francisco;California;94122;Zachód
SH-19975;Sally Hughsby;Klient korporacyjny;Stany Zjednoczone;San Francisco;California;94122;Zachód
SH-19975;Sally Hughsby;Klient korporacyjny;Stany Zjednoczone;San Francisco;California;94122;Zachód
SG-20080;Sandra Glassco;Klient indywidualny;Stany Zjednoczone;Independence;Missouri;64055;Centrum
HA-14920;Helen Andreada;Klient indywidualny;Stany Zjednoczone;Pasadena;California;91104;Zachód
MG-17680;Maureen Gastineau;Biuro domowe;Stany Zjednoczone;Newark;Ohio;43055;Wschód
JE-16165;Justin Ellison;Klient korporacyjny;Stany Zjednoczone;Franklin;Wisconsin;53132;Centrum
JE-16165;Justin Ellison;Klient korporacyjny;Stany Zjednoczone;Franklin;Wisconsin;53132;Centrum
JE-16165;Justin Ellison;Klient korporacyjny;Stany Zjednoczone;Franklin;Wisconsin;53132;Centrum
JE-16165;Justin Ellison;Klient korporacyjny;Stany Zjednoczone;Franklin;Wisconsin;53132;Centrum
TW-21025;Tamara Willingham;Biuro domowe;Stany Zjednoczone;Scottsdale;Arizona;85254;Zachód
TW-21025;Tamara Willingham;Biuro domowe;Stany Zjednoczone;Scottsdale;Arizona;85254;Zachód
SP-20650;Stephanie Phelps;Klient korporacyjny;Stany Zjednoczone;San Jose;California;95123;Zachód
SP-20650;Stephanie Phelps;Klient korporacyjny;Stany Zjednoczone;San Jose;California;95123;Zachód
SP-20650;Stephanie Phelps;Klient korporacyjny;Stany Zjednoczone;San Jose;California;95123;Zachód
NK-18490;Neil Knudson;Biuro domowe;Stany Zjednoczone;Seattle;Washington;98105;Zachód
DB-13060;Dave Brooks;Klient indywidualny;Stany Zjednoczone;Seattle;Washington;98115;Zachód
NP-18670;Nora Paige;Klient indywidualny;Stany Zjednoczone;Edmond;Oklahoma;73034;Centrum
NP-18670;Nora Paige;Klient indywidualny;Stany Zjednoczone;Edmond;Oklahoma;73034;Centrum
TT-21070;Ted Trevino;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90045;Zachód
EM-13960;Eric Murdock;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19134;Wschód
RD-19900;Ruben Dartt;Klient indywidualny;Stany Zjednoczone;Carlsbad;New Mexico;88220;Zachód
MJ-17740;Max Jones;Klient indywidualny;Stany Zjednoczone;Seattle;Washington;98115;Zachód
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
BM-11140;Becky Martin;Klient indywidualny;Stany Zjednoczone;San Antonio;Texas;78207;Centrum
CS-12130;Chad Sievert;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
CS-12130;Chad Sievert;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
CS-12130;Chad Sievert;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
JB-15400;Jennifer Braxton;Klient korporacyjny;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
JB-15400;Jennifer Braxton;Klient korporacyjny;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
SJ-20500;Shirley Jackson;Klient indywidualny;Stany Zjednoczone;Houston;Texas;77036;Centrum
JE-15745;Joel Eaton;Klient indywidualny;Stany Zjednoczone;Newark;Ohio;43055;Wschód
JE-15745;Joel Eaton;Klient indywidualny;Stany Zjednoczone;Newark;Ohio;43055;Wschód
JK-15640;Jim Kriz;Biuro domowe;Stany Zjednoczone;New York City;New York;10009;Wschód
DK-13150;David Kendrick;Klient korporacyjny;Stany Zjednoczone;Decatur;Illinois;62521;Centrum
DK-13150;David Kendrick;Klient korporacyjny;Stany Zjednoczone;Decatur;Illinois;62521;Centrum
RM-19675;Robert Marley;Biuro domowe;Stany Zjednoczone;Monroe;Louisiana;71203;Południe
RM-19675;Robert Marley;Biuro domowe;Stany Zjednoczone;Monroe;Louisiana;71203;Południe
RM-19675;Robert Marley;Biuro domowe;Stany Zjednoczone;Monroe;Louisiana;71203;Południe
SK-19990;Sally Knutson;Klient indywidualny;Stany Zjednoczone;Fairfield;Connecticut;6824;Wschód
FM-14290;Frank Merwin;Biuro domowe;Stany Zjednoczone;Los Angeles;California;90032;Zachód
AM-10360;Alice McCarthy;Klient korporacyjny;Stany Zjednoczone;Grand Prairie;Texas;75051;Centrum
AM-10360;Alice McCarthy;Klient korporacyjny;Stany Zjednoczone;Grand Prairie;Texas;75051;Centrum
MP-17470;Mark Packer;Biuro domowe;Stany Zjednoczone;New York City;New York;10035;Wschód
MP-17470;Mark Packer;Biuro domowe;Stany Zjednoczone;New York City;New York;10035;Wschód
MP-17470;Mark Packer;Biuro domowe;Stany Zjednoczone;New York City;New York;10035;Wschód
MP-17470;Mark Packer;Biuro domowe;Stany Zjednoczone;New York City;New York;10035;Wschód
MP-17470;Mark Packer;Biuro domowe;Stany Zjednoczone;New York City;New York;10035;Wschód
MZ-17515;Mary Zewe;Klient korporacyjny;Stany Zjednoczone;Redlands;California;92374;Zachód
CB-12025;Cassandra Brandow;Klient indywidualny;Stany Zjednoczone;Hamilton;Ohio;45011;Wschód
CB-12025;Cassandra Brandow;Klient indywidualny;Stany Zjednoczone;Hamilton;Ohio;45011;Wschód
VM-21685;Valerie Mitchum;Biuro domowe;Stany Zjednoczone;Westfield;New Jersey;7090;Wschód
FH-14365;Fred Hopkins;Klient korporacyjny;Stany Zjednoczone;Philadelphia;Pennsylvania;19120;Wschód
FH-14365;Fred Hopkins;Klient korporacyjny;Stany Zjednoczone;Philadelphia;Pennsylvania;19120;Wschód
MB-17305;Maria Bertelson;Klient indywidualny;Stany Zjednoczone;Akron;Ohio;44312;Wschód
BS-11755;Bruce Stewart;Klient indywidualny;Stany Zjednoczone;Denver;Colorado;80219;Zachód
BS-11755;Bruce Stewart;Klient indywidualny;Stany Zjednoczone;Denver;Colorado;80219;Zachód
LC-17140;Logan Currie;Klient indywidualny;Stany Zjednoczone;Dallas;Texas;75220;Centrum
HK-14890;Heather Kirkland;Klient korporacyjny;Stany Zjednoczone;Franklin;Tennessee;37064;Południe
LE-16810;Laurel Elliston;Klient indywidualny;Stany Zjednoczone;Whittier;California;90604;Zachód
JH-15985;Joseph Holt;Klient indywidualny;Stany Zjednoczone;Saginaw;Michigan;48601;Centrum
JH-15985;Joseph Holt;Klient indywidualny;Stany Zjednoczone;Saginaw;Michigan;48601;Centrum
JH-15985;Joseph Holt;Klient indywidualny;Stany Zjednoczone;Saginaw;Michigan;48601;Centrum
JH-15985;Joseph Holt;Klient indywidualny;Stany Zjednoczone;Saginaw;Michigan;48601;Centrum
JH-15985;Joseph Holt;Klient indywidualny;Stany Zjednoczone;Saginaw;Michigan;48601;Centrum
MS-17980;Michael Stewart;Klient korporacyjny;Stany Zjednoczone;Dallas;Texas;75220;Centrum
VW-21775;Victoria Wilson;Klient korporacyjny;Stany Zjednoczone;Medina;Ohio;44256;Wschód
VW-21775;Victoria Wilson;Klient korporacyjny;Stany Zjednoczone;Medina;Ohio;44256;Wschód
VW-21775;Victoria Wilson;Klient korporacyjny;Stany Zjednoczone;Medina;Ohio;44256;Wschód
VW-21775;Victoria Wilson;Klient korporacyjny;Stany Zjednoczone;Medina;Ohio;44256;Wschód
VW-21775;Victoria Wilson;Klient korporacyjny;Stany Zjednoczone;Medina;Ohio;44256;Wschód
JH-15910;Jonathan Howell;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
JH-15910;Jonathan Howell;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
JB-15925;Joni Blumstein;Klient indywidualny;Stany Zjednoczone;Dublin;Ohio;43017;Wschód
JB-15925;Joni Blumstein;Klient indywidualny;Stany Zjednoczone;Dublin;Ohio;43017;Wschód
JB-15925;Joni Blumstein;Klient indywidualny;Stany Zjednoczone;Dublin;Ohio;43017;Wschód
JB-15925;Joni Blumstein;Klient indywidualny;Stany Zjednoczone;Dublin;Ohio;43017;Wschód
JB-15925;Joni Blumstein;Klient indywidualny;Stany Zjednoczone;Dublin;Ohio;43017;Wschód
JB-15925;Joni Blumstein;Klient indywidualny;Stany Zjednoczone;Dublin;Ohio;43017;Wschód
DS-13180;David Smith;Klient korporacyjny;Stany Zjednoczone;Detroit;Michigan;48227;Centrum
DS-13180;David Smith;Klient korporacyjny;Stany Zjednoczone;Detroit;Michigan;48227;Centrum
DS-13180;David Smith;Klient korporacyjny;Stany Zjednoczone;Detroit;Michigan;48227;Centrum
VD-21670;Valerie Dominguez;Klient indywidualny;Stany Zjednoczone;Columbia;Tennessee;38401;Południe
VD-21670;Valerie Dominguez;Klient indywidualny;Stany Zjednoczone;Columbia;Tennessee;38401;Południe
EA-14035;Erin Ashbrook;Klient korporacyjny;Stany Zjednoczone;Charlotte;North Carolina;28205;Południe
CS-12400;Christopher Schild;Biuro domowe;Stany Zjednoczone;Tampa;Florida;33614;Południe
CS-12400;Christopher Schild;Biuro domowe;Stany Zjednoczone;Tampa;Florida;33614;Południe
CS-12400;Christopher Schild;Biuro domowe;Stany Zjednoczone;Tampa;Florida;33614;Południe
CS-12400;Christopher Schild;Biuro domowe;Stany Zjednoczone;Tampa;Florida;33614;Południe
CS-12400;Christopher Schild;Biuro domowe;Stany Zjednoczone;Tampa;Florida;33614;Południe
DB-13120;David Bremer;Klient korporacyjny;Stany Zjednoczone;Santa Clara;California;95051;Zachód
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
KL-16645;Ken Lonsdale;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
DW-13480;Dianna Wilson;Biuro domowe;Stany Zjednoczone;Lakeville;Minnesota;55044;Centrum
DW-13480;Dianna Wilson;Biuro domowe;Stany Zjednoczone;Lakeville;Minnesota;55044;Centrum
DW-13480;Dianna Wilson;Biuro domowe;Stany Zjednoczone;Lakeville;Minnesota;55044;Centrum
DW-13480;Dianna Wilson;Biuro domowe;Stany Zjednoczone;Lakeville;Minnesota;55044;Centrum
DW-13480;Dianna Wilson;Biuro domowe;Stany Zjednoczone;Lakeville;Minnesota;55044;Centrum
LH-17155;Logan Haushalter;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94109;Zachód
KC-16540;Kelly Collister;Klient indywidualny;Stany Zjednoczone;San Diego;California;92037;Zachód
KC-16540;Kelly Collister;Klient indywidualny;Stany Zjednoczone;San Diego;California;92037;Zachód
DL-13315;Delfina Latchford;Klient indywidualny;Stany Zjednoczone;New York City;New York;10024;Wschód
DL-13315;Delfina Latchford;Klient indywidualny;Stany Zjednoczone;New York City;New York;10024;Wschód
DR-12880;Dan Reichenbach;Klient korporacyjny;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
DR-12880;Dan Reichenbach;Klient korporacyjny;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
DR-12880;Dan Reichenbach;Klient korporacyjny;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
DR-12880;Dan Reichenbach;Klient korporacyjny;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
CC-12670;Craig Carreira;Klient indywidualny;Stany Zjednoczone;New York City;New York;10009;Wschód
CC-12670;Craig Carreira;Klient indywidualny;Stany Zjednoczone;New York City;New York;10009;Wschód
CC-12670;Craig Carreira;Klient indywidualny;Stany Zjednoczone;New York City;New York;10009;Wschód
Dl-13600;Dorris liebe;Klient korporacyjny;Stany Zjednoczone;Pasadena;Texas;77506;Centrum
SB-20290;Sean Braxton;Klient korporacyjny;Stany Zjednoczone;Houston;Texas;77036;Centrum
SB-20290;Sean Braxton;Klient korporacyjny;Stany Zjednoczone;Houston;Texas;77036;Centrum
RC-19825;Roy Collins;Klient indywidualny;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
